"year";"orgnr";"var";"denominator";"ind_id"
2010;974631768;261;276;"hoftebrudd_dekgrad_prim_brudd"
2011;974631768;271;291;"hoftebrudd_dekgrad_prim_brudd"
2012;974631768;305;317;"hoftebrudd_dekgrad_prim_brudd"
2013;974631768;307;337;"hoftebrudd_dekgrad_prim_brudd"
2014;974631768;258;277;"hoftebrudd_dekgrad_prim_brudd"
2015;974631768;247;272;"hoftebrudd_dekgrad_prim_brudd"
2016;974631768;242;266;"hoftebrudd_dekgrad_prim_brudd"
2017;974631768;223;257;"hoftebrudd_dekgrad_prim_brudd"
2018;974631768;244;261;"hoftebrudd_dekgrad_prim_brudd"
2008;974631776;134;142;"hoftebrudd_dekgrad_prim_brudd"
2009;974631776;137;140;"hoftebrudd_dekgrad_prim_brudd"
2010;974631776;149;149;"hoftebrudd_dekgrad_prim_brudd"
2011;974631776;164;170;"hoftebrudd_dekgrad_prim_brudd"
2012;974631776;168;173;"hoftebrudd_dekgrad_prim_brudd"
2013;974631776;156;157;"hoftebrudd_dekgrad_prim_brudd"
2014;974631776;194;195;"hoftebrudd_dekgrad_prim_brudd"
2015;974631776;175;179;"hoftebrudd_dekgrad_prim_brudd"
2016;974631776;161;162;"hoftebrudd_dekgrad_prim_brudd"
2017;974631776;144;147;"hoftebrudd_dekgrad_prim_brudd"
2018;974631776;83;123;"hoftebrudd_dekgrad_prim_brudd"
2008;974632535;207;287;"hoftebrudd_dekgrad_prim_brudd"
2009;974632535;208;251;"hoftebrudd_dekgrad_prim_brudd"
2010;974632535;238;265;"hoftebrudd_dekgrad_prim_brudd"
2011;974632535;225;236;"hoftebrudd_dekgrad_prim_brudd"
2012;974632535;203;218;"hoftebrudd_dekgrad_prim_brudd"
2013;974632535;202;213;"hoftebrudd_dekgrad_prim_brudd"
2014;974632535;245;258;"hoftebrudd_dekgrad_prim_brudd"
2015;974632535;278;296;"hoftebrudd_dekgrad_prim_brudd"
2016;974632535;257;274;"hoftebrudd_dekgrad_prim_brudd"
2017;974632535;233;281;"hoftebrudd_dekgrad_prim_brudd"
