"ind_id";"orgnr";"denominator";"year";"var"
"korsband_overl8";974633558;388;2018;368
"korsband_overl8";974633558;428;2019;407
"korsband_overl8";974703300;515;2015;498
"korsband_overl8";974703300;533;2016;516
"korsband_overl8";974703300;548;2017;531
"korsband_overl8";974703300;586;2018;567
"korsband_overl8";974703300;633;2019;610
"korsband_overl8";974705788;406;2015;377
"korsband_overl8";974705788;395;2016;367
"korsband_overl8";974705788;397;2017;371
"korsband_overl8";974705788;379;2018;356
"korsband_overl8";974705788;371;2019;355
"korsband_overl8";974706490;628;2015;595
"korsband_overl8";974706490;651;2016;617
"korsband_overl8";974706490;689;2017;651
"korsband_overl8";974706490;732;2018;694
"korsband_overl8";974706490;755;2019;716
"korsband_overl8";974724774;345;2015;321
"korsband_overl8";974724774;329;2016;306
"korsband_overl8";974724774;313;2017;292
"korsband_overl8";974724774;289;2018;268
"korsband_overl8";974724774;296;2019;276
"korsband_overl8";974733013;247;2015;231
"korsband_overl8";974733013;268;2016;250
"korsband_overl8";974733013;292;2017;273
"korsband_overl8";974733013;293;2018;274
"korsband_overl8";974733013;300;2019;284
"korsband_overl8";974745089;120;2015;114
"korsband_overl8";974745089;133;2016;127
"korsband_overl8";974745089;161;2017;153
"korsband_overl8";974745089;176;2018;167
"korsband_overl8";974745089;184;2019;174
"korsband_overl8";974745364;109;2015;100
"korsband_overl8";974745364;81;2016;73
"korsband_overl8";974745364;63;2017;56
"korsband_overl8";974746948;211;2015;194
"korsband_overl8";974746948;235;2016;215
"korsband_overl8";974746948;237;2017;216
"korsband_overl8";974746948;234;2018;212
"korsband_overl8";974746948;240;2019;219
"korsband_overl8";974747138;311;2015;291
"korsband_overl8";974747138;291;2016;271
"korsband_overl8";974747138;270;2017;251
"korsband_overl8";974747138;247;2018;230
"korsband_overl8";974747138;229;2019;210
"korsband_overl8";974749025;717;2015;664
"korsband_overl8";974749025;731;2016;677
"korsband_overl8";974749025;740;2017;689
"korsband_overl8";974749025;748;2018;700
"korsband_overl8";974749025;785;2019;736
"korsband_overl8";974749505;210;2015;192
"korsband_overl8";974749505;197;2016;180
"korsband_overl8";974749505;203;2017;186
"korsband_overl8";974749505;211;2018;193
"korsband_overl8";974749505;222;2019;202
"korsband_overl8";974753898;109;2015;104
"korsband_overl8";974753898;93;2016;87
"korsband_overl8";974753898;94;2017;88
"korsband_overl8";974753898;83;2018;78
"korsband_overl8";974754118;132;2015;127
"korsband_overl8";974754118;116;2016;110
"korsband_overl8";974754118;88;2017;85
"korsband_overl8";974795361;271;2015;251
"korsband_overl8";974795361;248;2016;228
"korsband_overl8";974795361;217;2017;199
"korsband_overl8";974795361;202;2018;186
"korsband_overl8";974795361;203;2019;186
"korsband_overl8";974795787;350;2015;341
"korsband_overl8";974795787;327;2016;320
"korsband_overl8";974795787;309;2017;302
"korsband_overl8";974795787;299;2018;293
"korsband_overl8";974795787;277;2019;270
"korsband_overl8";974795833;131;2015;123
"korsband_overl8";974795833;139;2016;131
"korsband_overl8";974795833;149;2017;140
"korsband_overl8";974795833;141;2018;132
"korsband_overl8";974795833;132;2019;125
"korsband_overl8";975787419;389;2015;381
"korsband_overl8";975787419;479;2016;467
"korsband_overl8";975787419;532;2017;516
"korsband_overl8";975787419;558;2018;540
"korsband_overl8";975787419;551;2019;536
"korsband_overl8";817178782;236;2015;234
"korsband_overl8";817178782;258;2016;255
"korsband_overl8";817178782;291;2017;286
"korsband_overl8";817178782;323;2018;318
"korsband_overl8";817178782;318;2019;313
"korsband_overl8";983971652;59;2015;57
"korsband_overl8";983971652;54;2016;52
"korsband_overl8";993240184;134;2015;129
"korsband_overl8";993240184;174;2016;165
"korsband_overl8";993240184;216;2017;205
"korsband_overl8";993240184;240;2018;228
"korsband_overl8";993240184;243;2019;231
"korsband_overl8";999238351;853;2015;815
"korsband_overl8";999238351;829;2016;794
"korsband_overl8";999238351;772;2017;739
"korsband_overl8";999238351;620;2018;593
"korsband_overl8";999238351;508;2019;487
