"ind_id";"year";"orgnr";"var";"denominator"
"rectum_uten_tilbakefall_5aar";"2016";974703300;136;142
"rectum_uten_tilbakefall_5aar";"2016";974557746;213;221
"rectum_uten_tilbakefall_5aar";"2016";974744570;48;52
"rectum_uten_tilbakefall_5aar";"2016";974747138;100;105
"rectum_uten_tilbakefall_5aar";"2016";974754118;48;50
"rectum_uten_tilbakefall_5aar";"2016";974795361;55;59
"rectum_uten_tilbakefall_5aar";"2016";974795787;149;159
"rectum_uten_tilbakefall_5aar";"2019";1;503;457
"rectum_uten_tilbakefall_5aar";"2019";974705788;38;39
"rectum_uten_tilbakefall_5aar";"2019";974707152;176;189
"rectum_uten_tilbakefall_5aar";"2019";974589095;138;146
"rectum_uten_tilbakefall_5aar";"2019";974724960;86;95
"rectum_uten_tilbakefall_5aar";"2019";974632535;72;74
"rectum_uten_tilbakefall_5aar";"2019";974631326;103;107
"rectum_uten_tilbakefall_5aar";"2019";974633574;95;101
"rectum_uten_tilbakefall_5aar";"2019";974633191;62;64
"rectum_uten_tilbakefall_5aar";"2019";974733013;83;85
"rectum_uten_tilbakefall_5aar";"2019";974724774;0;57
"rectum_uten_tilbakefall_5aar";"2019";974703300;125;132
"rectum_uten_tilbakefall_5aar";"2019";974557746;227;237
"rectum_uten_tilbakefall_5aar";"2019";974744570;36;37
"rectum_uten_tilbakefall_5aar";"2019";974747138;114;117
"rectum_uten_tilbakefall_5aar";"2019";974754118;50;52
"rectum_uten_tilbakefall_5aar";"2019";974795361;95;99
"rectum_uten_tilbakefall_5aar";"2019";974795787;148;156
"rectum_overlevelse_5aar";"2016";1;4;19
"rectum_overlevelse_5aar";"2016";974633752;86;104
"rectum_overlevelse_5aar";"2016";974705788;62;67
"rectum_overlevelse_5aar";"2016";974706490;144;161
"rectum_overlevelse_5aar";"2016";974707152;113;157
"rectum_overlevelse_5aar";"2016";974589095;115;121
"rectum_overlevelse_5aar";"2016";974724960;77;92
"rectum_overlevelse_5aar";"2016";974632535;84;84
"rectum_overlevelse_5aar";"2016";974631326;80;92
"rectum_overlevelse_5aar";"2016";974633574;67;77
"rectum_overlevelse_5aar";"2016";974633191;52;59
"rectum_overlevelse_5aar";"2016";974733013;95;98
"rectum_overlevelse_5aar";"2016";974724774;50;61
"rectum_overlevelse_5aar";"2016";974703300;119;130
"rectum_overlevelse_5aar";"2016";974557746;172;213
"rectum_overlevelse_5aar";"2016";974744570;44;48
"rectum_overlevelse_5aar";"2016";974747138;85;93
"rectum_overlevelse_5aar";"2016";974749025;138;156
"rectum_overlevelse_5aar";"2016";974754118;41;48
"rectum_overlevelse_5aar";"2016";974795361;48;55
"rectum_overlevelse_5aar";"2016";974795787;131;149
"rectum_overlevelse_5aar";"2019";1;5;20
"rectum_overlevelse_5aar";"2019";974633752;72;89
"rectum_overlevelse_5aar";"2019";974705788;31;35
"rectum_overlevelse_5aar";"2019";974706490;127;147
"rectum_overlevelse_5aar";"2019";974707152;142;168
"rectum_overlevelse_5aar";"2019";974589095;109;127
"rectum_overlevelse_5aar";"2019";974724960;71;86
"rectum_overlevelse_5aar";"2019";974632535;66;72
"rectum_overlevelse_5aar";"2019";974631326;79;97
"rectum_overlevelse_5aar";"2019";974633574;90;96
"rectum_overlevelse_5aar";"2019";974633191;60;59
"rectum_overlevelse_5aar";"2019";974733013;74;83
"rectum_overlevelse_5aar";"2019";974724774;49;54
"rectum_overlevelse_5aar";"2019";974703300;111;124
"rectum_overlevelse_5aar";"2019";974557746;177;218
"rectum_overlevelse_5aar";"2019";974744570;32;35
"rectum_overlevelse_5aar";"2019";974747138;91;98
"rectum_overlevelse_5aar";"2019";974749025;130;163
"rectum_overlevelse_5aar";"2019";974754118;41;51
"rectum_overlevelse_5aar";"2019";974795361;100;89
"rectum_overlevelse_5aar";"2019";974795787;112;142
