"year";"orgnr";"var";"ind_id";"denominator"
2018;974633221;1;"nger_kompl_intra_hys";15
2018;974795787;0;"nger_kompl_intra_hys";70
2018;974589095;4;"nger_kompl_intra_hys";388
2018;974795515;0;"nger_kompl_intra_hys";21
2018;974724774;1;"nger_kompl_intra_hys";158
2018;974795361;3;"nger_kompl_intra_hys";48
2019;974733013;1;"nger_kompl_intra_hys";94
2019;974795574;1;"nger_kompl_intra_hys";36
2019;974795930;0;"nger_kompl_intra_hys";4
2019;974795833;7;"nger_kompl_intra_hys";67
2019;974747138;1;"nger_kompl_intra_hys";30
2019;974747545;0;"nger_kompl_intra_hys";3
2019;974557746;2;"nger_kompl_intra_hys";48
2019;974795477;0;"nger_kompl_intra_hys";25
2019;974745569;1;"nger_kompl_intra_hys";54
2019;974631326;10;"nger_kompl_intra_hys";248
2019;974631407;0;"nger_kompl_intra_hys";27
2019;974631091;2;"nger_kompl_intra_hys";42
2019;974631385;0;"nger_kompl_intra_hys";16
2019;974705788;3;"nger_kompl_intra_hys";92
2019;974744570;5;"nger_kompl_intra_hys";45
2019;974703300;7;"nger_kompl_intra_hys";131
2019;974743272;0;"nger_kompl_intra_hys";37
2019;974737779;3;"nger_kompl_intra_hys";128
2019;974749025;2;"nger_kompl_intra_hys";334
2019;974633752;3;"nger_kompl_intra_hys";123
2019;974706490;6;"nger_kompl_intra_hys";194
2019;974631768;5;"nger_kompl_intra_hys";83
2019;974632535;7;"nger_kompl_intra_hys";129
2019;974633574;6;"nger_kompl_intra_hys";370
2019;874632562;7;"nger_kompl_intra_hys";68
2019;974633221;1;"nger_kompl_intra_hys";69
2019;974631776;1;"nger_kompl_intra_hys";8
2019;974795787;0;"nger_kompl_intra_hys";57
2019;974589095;5;"nger_kompl_intra_hys";344
2019;974795515;0;"nger_kompl_intra_hys";15
2019;974724774;4;"nger_kompl_intra_hys";119
2019;974742985;0;"nger_kompl_intra_hys";57
2019;974795639;1;"nger_kompl_intra_hys";25
2019;974795361;2;"nger_kompl_intra_hys";86
2020;974733013;2;"nger_kompl_intra_hys";27
2020;974795574;0;"nger_kompl_intra_hys";17
2020;974795833;0;"nger_kompl_intra_hys";13
2020;974747138;3;"nger_kompl_intra_hys";65
2020;974747545;0;"nger_kompl_intra_hys";7
2020;974557746;0;"nger_kompl_intra_hys";28
2020;974795477;1;"nger_kompl_intra_hys";20
2020;974745569;0;"nger_kompl_intra_hys";12
2020;974631326;3;"nger_kompl_intra_hys";91
2020;974631407;0;"nger_kompl_intra_hys";15
2020;974631091;0;"nger_kompl_intra_hys";3
2020;974631385;0;"nger_kompl_intra_hys";25
2020;974705788;0;"nger_kompl_intra_hys";49
2020;974744570;1;"nger_kompl_intra_hys";8
2020;974703300;1;"nger_kompl_intra_hys";59
2020;974754118;2;"nger_kompl_intra_hys";17
