"orgnr";"year";"ind_id";"var";"denominator"
974747138;2016;"korsband_preop_ant";14;14
974747138;2017;"korsband_preop_ant";12;12
974747138;2018;"korsband_preop_ant";11;11
974747138;2019;"korsband_preop_ant";20;20
974749025;2015;"korsband_preop_ant";78;78
974749025;2016;"korsband_preop_ant";72;72
974749025;2017;"korsband_preop_ant";57;57
974749025;2018;"korsband_preop_ant";74;74
974749025;2019;"korsband_preop_ant";97;97
974749505;2015;"korsband_preop_ant";17;17
974749505;2016;"korsband_preop_ant";6;6
974749505;2017;"korsband_preop_ant";23;23
974749505;2018;"korsband_preop_ant";16;16
974749505;2019;"korsband_preop_ant";18;18
974753898;2015;"korsband_preop_ant";4;4
974753898;2016;"korsband_preop_ant";1;1
974753898;2017;"korsband_preop_ant";8;8
974753898;2018;"korsband_preop_ant";3;3
974753898;2019;"korsband_preop_ant";13;13
974754118;2015;"korsband_preop_ant";5;5
974754118;2016;"korsband_preop_ant";5;5
974754118;2018;"korsband_preop_ant";3;3
974754118;2019;"korsband_preop_ant";4;4
974795361;2015;"korsband_preop_ant";5;5
974795361;2016;"korsband_preop_ant";11;11
974795361;2017;"korsband_preop_ant";3;3
974795361;2018;"korsband_preop_ant";10;10
974795361;2019;"korsband_preop_ant";25;25
974795396;2016;"korsband_preop_ant";1;1
974795396;2017;"korsband_preop_ant";4;4
974795396;2018;"korsband_preop_ant";1;1
974795485;2019;"korsband_preop_ant";1;1
974795515;2016;"korsband_preop_ant";3;3
974795515;2017;"korsband_preop_ant";2;2
974795515;2018;"korsband_preop_ant";3;3
974795515;2019;"korsband_preop_ant";2;2
974795787;2015;"korsband_preop_ant";17;17
974795787;2016;"korsband_preop_ant";20;20
974795787;2017;"korsband_preop_ant";9;9
974795787;2018;"korsband_preop_ant";27;27
974795787;2019;"korsband_preop_ant";14;15
974795833;2015;"korsband_preop_ant";3;3
974795833;2016;"korsband_preop_ant";9;9
974795833;2017;"korsband_preop_ant";11;11
974795833;2018;"korsband_preop_ant";10;10
974795833;2019;"korsband_preop_ant";8;8
975787419;2015;"korsband_preop_ant";71;71
975787419;2016;"korsband_preop_ant";90;90
975787419;2017;"korsband_preop_ant";91;91
